name,lat,lng,icon,iconColor,popup,
大多喜駅 高速,35.287003,140.244306,bus,blue,<h2>大多喜駅</h2><h3>羽田空港・品川-大多喜　直通高速バス</h3>【発】<br>6:15<br>8:30<br>11:15<br>16:25<br>18:10<br>20:55<br><br>【着】<br>7:45<br>10:25<br>15:05<br>17:45<br>20:10<br>22:55,
大多喜（オリブ）高速,35.289175,140.253801,bus,blue,<h2>大多喜（オリブ）</h2><h3>羽田空港・品川-大多喜　直通高速バス</h3>【発】<br>6:20<br>8:35<br>11:20<br>16:30<br>18:15<br>21:00<br><br>【着】<br>7:40<br>10:20<br>15:00<br>17:40<br>20:05<br>22:50,
大多喜たけゆら前　高速,35.254784,140.258916,bus,cadetblue,<h2>大多喜たけゆら前</h2><h3>浜松町・東京駅-大多喜　高速バス</h3>【発】6:35<br>8:35<br>10:15<br>12:25<br>14:35<br>16:35<br><br>【着】9:13<br>11:28<br>13:43<br>15:23<br>19:23<br>20:08,
大多喜ヤックス前　高速,35.288813,140.252173,bus,cadetblue,<h2>大多喜ヤックス前</h2><h3>浜松町・東京駅-大多喜　高速バス</h3/>【発】6:42<br>8:42<br>10:22<br>12:32<br>14:42<br>16:42<br><br>【着】9:06<br>11:21<br>13:36<br>15:16<br>19:16<br>22:01,
三育学院大学,35.241711,140.264235,bus,orange,<h2>三育学院大学）</h2><h3>無料シャトルバス<br>金・土・日・祝のみ運行</h3><br>→道の駅→ResortView大多喜→ショッピングセンターオリブ→大多喜駅→大多喜城→大多喜駅→丘の上バラ園→大多喜ハーブガーデン→大多喜駅<br>【発】<br>8:00<br>10:05<br>13:15<br>15:15<br>17:15,
道の駅たけゆらの里おおたき,35.254779,140.258903,bus,orange,<h2>道の駅たけゆらの里おおたき</h2><h3>無料シャトルバス<br>金・土・日・祝のみ運行</h3><br>→ResortView大多喜→ショッピングセンターオリブ→大多喜駅→大多喜城→大多喜駅→丘の上バラ園→大多喜ハーブガーデン→大多喜駅<br>【発】<br>8:05<br>10:10<br>13:20<br>15:20<br>17:20<br><br>→三育学院大学<br>【発】<br>9:10<br>11:15<br>14:15<br>16:15<br>18:15,
Resort View大多喜,35.281737,140.252082,bus,orange,<h2>Resort View大多喜</h2><h3>無料シャトルバス<br>金・土・日・祝のみ運行</h3><br>→ショッピングセンターオリブ→大多喜駅→大多喜城→大多喜駅→丘の上バラ園→大多喜ハーブガーデン→大多喜駅<br>【発】<br>8:110<br>10:16<br>13:26<br>17:26<br><br>→道の駅→三育学院大学<br>【発】<br>9:04<br>11:09<br>14:09<br>16:09<br>18:09,
ショップンプラザオリブ・ニコニコレンタカー,35.289168,140.253694,bus,orange,<h2>ショップンプラザオリブ・ニコニコレンタカー</h2><h3>無料シャトルバス<br>金・土・日・祝のみ運行</h3><br />&rarr;大多喜駅&rarr;大多喜城&rarr;大多喜駅&rarr;丘の上バラ園&rarr;大多喜ハーブガーデン&rarr;大多喜駅<br />【発】<br />8:15<br />10:30<br />13:30<br />15:30<br />17:30<br /><br />&rarr;ResortView大多喜&rarr;道の駅&rarr;三育学院大学<br />【発】<br />9:00<br />11:05<br />14:05<br />16:05<br />18:05,
大多喜駅（観光センター側）,35.286830,140.244317,bus,orange,<h2>大多喜駅（観光センター側）</h2><h3>無料シャトルバス<br>金・土・日・祝のみ運行</h3><br>→大多喜城<br>【発】<br>8:20<br>10:35<br>13:35<br>17:35<br><br>→ショッピングセンターオリブ→ResortView大多喜→道の駅→三育学院大学<br>【発】<br>8:55<br>11:00<br>14:00<br>16:00<br>18:00,
大多喜城,35.285564,140.236461,bus,orange,<h2>大多喜城</h2><h3>無料シャトルバス<br>金・土・日・祝のみ運行</h3><br>→大多喜駅→丘の上バラ園→大多喜ハーブガーデン<br>【発】<br>8:33<br>10:38<br>13:38<br>15:38<br>17:38,
